aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.4094534659481806,0.41839485036555957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.354660382414711,0.5114922299324648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.302877238817947,0.6141890797023603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.2568009637441966,0.6337551790626103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.216258895372061,0.6644762645778682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,0,0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.1812848339476245,0.7830290258199806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,0,0,0.14166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.1515513450733925,0.8985739159834878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,36,0,0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,2.126256029006716,0.9251201246672839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,38,1,0,0.15833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.140298387887731,0.9203963999009143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40,1,0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.2358473890310413,0.9229954572840611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,42,1,0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,2.230117112146677,1.006553456934875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,44,1,0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,2.2108500884243907,1.0180671247448272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,46,1,0,0.19166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,2.188489770197072,1.051408472442553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,48,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.166524252697055,1.187988286637958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,1,0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.1463728740484527,1.3146459614688897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,52,1,0,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.1281478824549045,1.3432938346036891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,54,2,0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,2.134628369387977,1.3349777912881104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,56,2,0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.1933411585642384,1.3191682722154958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,58,2,0,0.24166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.1900372628937284,1.4019398917549535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,60,2,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.1769479731689025,1.4123693641793114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,62,2,0,0.25833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.163368695005074,1.4406768693397662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,64,2,0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.1591290459107104,1.5511941617883707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,66,2,0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,2.1685545554954104,1.6255886012727951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,68,2,0,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.1786780866653435,1.597438073456617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,70,3,0,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.2043179905813863,1.542846244738876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,72,3,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.3256934629604418,1.404652697454428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,74,3,0,0.30833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.461411611029277,1.3036996595656345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,76,3,0,0.31666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,2.4647382896124155,1.2858510012926683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,78,3,0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,2.4480912771010526,1.2977008728741466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,80,3,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.4746640012078824,1.342890277780794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,82,3,0,0.3416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.5344336983452176,1.3470200240922368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,84,3,0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,2.5272352839641368,1.3354003444271016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,86,4,0,0.35833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.533388741202895,1.3199626458960418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,88,4,0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,2.6619014436105113,1.274212379898445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,90,4,0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,2.8184011343503124,1.2367883910528124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,92,4,0,0.38333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.8319709161554245,1.2257564025036052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,94,4,0,0.39166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.808162483652846,1.233236358877767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,96,4,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.7794959241688177,1.2807531050900032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,98,4,0,0.4083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.7872770262496513,1.3106932780430567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
