aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,-0.13148039537423273,0.00815706997906542,0.0,-0.0881856449051626,0.0,-0.21150897030032992,2.1113719457900193,0.5420026493065383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,-0.031279014063834154,0.008156029493558158,0.0,-0.08759434246848187,0.0,-0.3222262973390878,2.108588497688019,0.6619703652296188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,-0.0327113924805289,0.008154941644396422,0.0,-0.08696533297875349,0.0,-0.4337480811539738,2.0853603340018045,0.761379636088136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,0,0,0.11666666666666667,-0.03362753661299678,0.008153823630428393,0.0,-0.08630228294916842,0.0,-0.5455240770857106,2.0535883472082004,0.7784471013622806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,0,0,0.125,-0.034069107435215074,0.008152691248137695,0.0,-0.08560728227376192,0.0,-0.6570477755465499,2.0192141559318464,0.8068957757507353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,0,0,0.13333333333333333,-0.034230626133116004,0.00815155381404108,0.0,-0.08489863723008696,0.0,-0.7680254850957118,1.9884529578386076,0.9229430684703114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,0,0,0.14166666666666666,-0.03436213997858317,0.008150412329098097,0.0,-0.08419014621877079,0.0,-0.8784273589639676,1.9629034442640765,1.0345180198451116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,36,0,0,0.15,-0.034831972798450295,0.008149255562886348,0.0,-0.08349524353188442,0.0,-0.988605319731416,1.942902801343037,1.0516481524382746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,38,1,0,0.15833333333333333,-0.036679643983070775,0.008148037790594562,0.0,-0.08311362633470128,0.0,-1.1002505522585935,1.9627202509978041,1.0533069417161565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40,1,0,0.16666666666666666,-0.044381025864694834,0.008146564817232579,0.0,-0.08327104783470984,0.0,-1.2197560611407656,2.052076922771506,1.0949001162358953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,42,1,0,0.175,-0.04692284425878768,0.008145008061873628,0.0,-0.08276762207562909,0.0,-1.3413015194133087,2.049673570765065,1.1832169777447819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,44,1,0,0.18333333333333332,-0.04783479921805167,0.008143421662969474,0.0,-0.08214005798114621,0.0,-1.463132954949537,2.0314668655003434,1.1977893821834535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,46,1,0,0.19166666666666668,-0.04837845384368933,0.008141817862654657,0.0,-0.08147638599076631,0.0,-1.584845976921338,2.0113070644599294,1.2255718853997246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,48,1,0,0.2,-0.04858239508831019,0.008140207937050599,0.0,-0.08078454922630147,0.0,-1.706072713298899,1.99075296418368,1.3410812237474448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,1,0,0.20833333333333334,-0.048618478997504155,0.008138597452958288,0.0,-0.0800728464057051,0.0,-1.82662544124915,1.9708845371160089,1.4522772039221874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,52,1,0,0.21666666666666667,-0.04882375768303859,0.008136980810182869,0.0,-0.07935618979588882,0.0,-1.9466684079178946,1.952863339751811,1.4726433369862582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,54,2,0,0.225,-0.05006049788402578,0.00813532388343633,0.0,-0.07898642410617765,0.0,-2.0675800060246616,1.9609167111752153,1.470508938227092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,56,2,0,0.23333333333333334,-0.05617971532892341,0.008133465223231991,0.0,-0.07928519216747971,0.0,-2.194911448297833,2.0184374437734705,1.497265722849968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,58,2,0,0.24166666666666667,-0.05803953419640351,0.008131545924149079,0.0,-0.07878823118591348,0.0,-2.3236076677560007,2.014134848813919,1.5938796350650182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,60,2,0,0.25,-0.0589037052342789,0.008129598973871627,0.0,-0.07819283879684474,0.0,-2.452574612813253,2.0028375004675363,1.6032220129854386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,62,2,0,0.25833333333333336,-0.05941440824980049,0.008127636087529921,0.0,-0.07753846514383367,0.0,-2.581399850119357,1.988577391416551,1.6281182739672104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,64,2,0,0.26666666666666666,-0.05969260458474679,0.008125664964668695,0.0,-0.07688719166815208,0.0,-2.709853981407587,1.9756798986832569,1.7428426163649853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,66,2,0,0.275,-0.06044570240842262,0.008123669947603282,0.0,-0.07639129700864522,0.0,-2.8385673108770515,1.9720622552610039,1.8328108091530406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,68,2,0,0.2833333333333333,-0.06232941948592696,0.00812161378389305,0.0,-0.07611333487108302,0.0,-2.9688884514501686,1.9796414910030784,1.8104138415684417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,70,3,0,0.2916666666666667,-0.06533625684802757,0.008119459545757773,0.0,-0.07628213142655456,0.0,-3.102387380178993,2.010073691573731,1.7585476260089703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,72,3,0,0.3,-0.07340187846804014,0.008117040734248493,0.0,-0.07770315360264499,0.0,-3.2453753715154297,2.123012140008677,1.6708738620181758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,74,3,0,0.30833333333333335,-0.08368377826105444,0.008114284860868466,0.0,-0.07880465071159448,0.0,-3.39974951562721,2.2503543782779274,1.5973058853575282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,76,3,0,0.31666666666666665,-0.08755027997434439,0.008111403658202954,0.0,-0.07863509971645864,0.0,-3.55782349165981,2.2677165696646955,1.5761378893810498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,78,3,0,0.325,-0.08892880973043304,0.008108479183262745,0.0,-0.07823733601534891,0.0,-3.7168811582223293,2.2595557912917847,1.5864377877179296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,80,3,0,0.3333333333333333,-0.09123318462002317,0.00810548111826803,0.0,-0.07818497029019936,0.0,-3.8781938320142837,2.2869423628772356,1.6344850586637618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,82,3,0,0.3416666666666667,-0.09661288605965268,0.008102308683918716,0.0,-0.07849887430567788,0.0,-4.045203283695695,2.3585443901296252,1.6364484816319067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
